borough,name,gx_location,lat,lon,citymap_location,materials_accepted,days,hours,months_of_operation,Requirements,organizer,composted_by,website,site_type,container_type,nyc_compost,nyc_compost.href
BK,100 Quincy Community Garden,"100 Quincy Street, 11238",,,"http://maps.nyc.gov/doitt/nycitymap/?z=7&p=996697,188745&c=GISBasic&s=a:100,QUINCY+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,https://www.facebook.com/100Quincy?ref=stream,Community Garden,enclosed bin,no,
BK,3 Stars Garden,"51 Edwards Street, 11205",,,,"leaves, garden trimmings, food scraps",,,,,,,,NYC Schools (K-12),2 or 3 bin,no,
BK,462 Halsey Community Garden,"462 Halsey Street, Brooklyn, NY 11223
(40.68338860098805, -73.9357346332942)",40.6833886,-73.93573463,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1002094,188192&c=GISBasic&s=a:462,HALSEY+STREET,BROOKLYN",food scraps,whenever the garden is open,whenever the garden is open,whenever the garden is open,check website regularly for drop off schedule updates,462 Halsey Community Garden,462 Halsey Community Garden,http://462halsey.com,Community Garden,"2 or 3 bin, enclosed bin, open pile",no,
BK,64th Street Garden,"373 64th Street, 11220",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=978436,172040&c=GISBasic&s=a:373,64+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,https://www.facebook.com/pages/64th-Street-Community-Garden/167546503305947,Community Garden,"2 or 3 bin, enclosed bin",no,
BK,6th Ave / 15th Street Green Community Garden,"274 15th Street, 11215",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=987745,181332&c=GISBasic&s=a:274,15+STREET,BROOKLYN",varies,,,,,,,http://www.615green.org,Community Garden,"2 or 3 bin, enclosed bin, open pile",no,
BK,Added Value,"370 Van Brunt Street, 11231",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=980586,186061&c=GISBasic&s=a:370,VAN+BRUNT+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://www.added-value.org,Business,"2 or 3 bin, open pile/bin, enclosed bins",yes,
BK,Amazing Garden,"Corner of Columbia and Carroll Streets, 11231",,,,"leaves, garden trimmings",,,,,,,http://www.nycgovparks.org/parks/B409,Community Garden,"2 or 3 bin, enclosed bin",no,
BK,Bay Ridge Greenmarket,"3rd Ave &amp; 95th Street, Brooklyn, NY 11209
(40.62450999973686, -74.03007000033011)",40.62451,-74.03007,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=974925,164169&c=GISBasic&s=i:3+AVENUE,95+STREET,N,BROOKLYN",food scraps,Saturdays,8 am – 1:00 pm,"May 12-Nov 17, 2012",check website regularly for drop off schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
BK,Bed Stuy Campaign Against Hunger,"2010 Fulton Street, 11233",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1007041,186477&c=GISBasic&s=a:2010,FULTON+STREET,BROOKLYN","garden trimmings, food scraps",,,,,,,http://www.bedstuyagainsthunger.org,Business,2 or 3 bin,no,
BK,BRM Bed Stuy Farm,"255 Bainbridge Street, 11223",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1004552,187621&c=GISBasic&s=a:255,BAINBRIDGE+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://brooklynrescuemission.org/Bedstuyfarm.aspx,Community Garden,tumbler,no,
BK,Brooklyn Bears Carlton Avenue Garden,"Carlton Avenue between Greene Avenue and Fulton Street, 11238",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=992280,189089&c=GISBasic&s=l:BROOKLYN,1957,21,PLUTO","leaves, garden trimmings, food scraps",,,,,,,http://www.cenyc.org/osg-rwh-carlton,Community Garden,2 or 3 bin,no,
BK,Brooklyn Borough Hall Greenmarket,"Court St &amp; Montague St, Brooklyn, NY 11201
(40.69373999970139, -73.99130999985647)",40.69374,-73.99131,"http://gis.nyc.gov/doitt/nycitymap/?z=9&p=986952,192125&c=GISBasic&s=i:COURT+STREET,MONTAGUE+STREET,BROOKLYN",food scraps,Saturdays,8 am – 4 pm,Year Round,check website regularly for drop off schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,GrowNYC community partners,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
BK,Brooklyn Botanic Garden,"1000 Washington Avenue, 11225",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=994786,182216&c=GISBasic&s=a:1000,WASHINGTON+AVENUE,BROOKLYN","leaves, garden trimmings",,,,,,,http://www.bbg.org,Institution,"2 or 3 bin, enclosed bins",no,
BK,Brooklyn College,"2900 Bedford Avenue, 11201",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=997227,168991&c=GISBasic&s=a:2900,BEDFORD+AVENUE,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://brooklyncollegegarden.blogspot.com/,Institution,enclosed bins,yes,
BK,Brooklyn's Finest,"48 Lefferts Place, 11238",,,"http://gis.nyc.gov/doitt/nycitymap/?z=10&p=994618,188401&c=GISBasic&s=a:48,LEFFERTS+PLACE,BROOKLYN","leaves, garden trimmings",,,,,,,,Community Garden,enclosed bin,no,
BK,Brownsville Student Farm Project,"235 Union Street, 11231",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=984671,188228&c=GISBasic&s=a:235,UNION+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://www.studentfarmproject.com,Community Garden,2 or 3 bin,no,
BK,Bushwick Campus Farm,"400 Irving Avenue, 11237",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=1008729,193156&c=GISBasic&s=a:400,IRVING+AVENUE,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://www.EcoStationNY.org,NYC Schools (K-12),"2 or 3 bin, enclosed bin, open pile",no,
BK,Bushwick City Farm,"895 Broadway, 11206",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1001679,193506&c=GISBasic&s=a:896,BROADWAY,BROOKLYN","leaves, garden trimmings, food scraps, chicken manure",,,,,,,,Community Garden,2 or 3 bin,no,
BK,Carrol Gardens Greenmarket,"Carroll St, b/t Smith &amp; Court, Brooklyn, NY 11231
(40.680220000352904, -74.0006699998205)",40.68022,-74.00067,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=985667,187092&c=GISBasic&s=i:SMITH+STREET,CARROLL+STREET,S,BROOKLYN",food scraps,Sundays,8 am – 1 pm,,check website regularly for drop off schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
BK,Church Avenue Communal Garden,"Church Avenue and Flatbush Avenue, 11226",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=995708,176233&c=GISBasic&s=i:CHURCH+AVENUE,FLATBUSH+AVENUE,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://www.sustainableflatbush.org/2011/05/13/church-avenue-communal-garden-may-2011-update,Community Garden,"2 or 3 bin, enclosed bins",no,
BK,Clifton Place Community Garden,"1035 Bedford Avenue, 11216",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=996833,190115&c=GISBasic&s=a:1035,BEDFORD+AVENUE,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://www.cliftongarden.blogspot.com,Community Garden,enclosed bin,no,
BK,Compost For Brooklyn,"Newkirk Ave &amp; East 8th St, Brooklyn, NY 11230
(40.62294000018102, -73.96349999982499)",40.62294,-73.9635,"http://gis.nyc.gov/doitt/nycitymap/?z=9&p=993099,170308&c=GISBasic&s=i:NEWKIRK+AVENUE,EAST+8+STREET,BROOKLYN","food scraps, leaves, garden trimmings","Saturdays, Sundays, Thursdays",Sat: 10 am– 1 pm; Sun  1 – 4 pm; Thur  4:30 to 6:30 PM,Year Round,check website regularly for drop off schedule updates,Compost For Brooklyn,Compost For Brooklyn,http://compostforbrooklyn.org/,Community Garden,2 or 3 bin,no,
BK,Cortelyou Greenmarket,"Courtelyou Rd b/t Argyle &amp; Rugby Rd, Brooklyn, NY 11226
(40.64728000027196, -73.9573199999179)",40.64728,-73.95732,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=993880,172748&c=GISBasic&s=i:CORTELYOU+ROAD,RUGBY+ROAD,BROOKLYN","food scraps, leaves, garden trimmings",Sundays,8 am – 1 pm,,check website regularly for drop off schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
BK,Crow Hill Community Garden,"Franklin Avenue between Sterling Place and Park Place, 11238",,,"http://gis.nyc.gov/doitt/nycitymap/?z=10&p=996145,184729&c=GISBasic&s=l:BROOKLYN,1168,57,PLUTO","leaves, garden trimmings, food scraps",,,,,,,http://www.crowhillcommunity.org/garden.shtml,Community Garden,1 bin,no,
BK,David Foulke Memorial Garden,"250 Bergen Street, 11217",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=988607,188502&c=GISBasic&s=a:250,BERGEN+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,,Community Garden,enclosed bins,no,
BK,Eagle Street Rooftop Farm,"44 Eagle Street, 11211",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=995515,206839&c=GISBasic&s=a:44,EAGLE+STREET,BROOKLYN",food scraps,,,,,,,http://rooftopfarms.org,Business,varies,no,
BK,East 4th Street Community Garden,"179 East 4th Street, 11218",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=990604,175382&c=GISBasic&s=a:179,EAST+4+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://eastfourthstreetgarden.wordpress.com,Community Garden,"2 or 3 bin, open pile, enclosed bins",no,
BK,East End Community Garden,"Glenmore Avenue and Van Siclen Avenue, 11207",,,,"leaves, garden trimmings, food scraps",,,,,,,,Community Garden,enclosed bin,no,
BK,East New York Farms! UCC Youth Garden,"613 New Lots Avenue, 11207",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1015670,181536&c=GISBasic&s=a:613,NEW+LOTS+AVENUE,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://www.eastnewyorkfarms.org,Community Garden,"2 or 3 bin, open pile/bin, enclosed bins",yes,
BK,Eldert Street Garden,"315 Eldert Street, 11237",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1010020,191841&c=GISBasic&s=a:315,ELDERT+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://eldertstreetgarden.blogspot.com,Community Garden,2 or 3 bin,no,
BK,Flatbush CommUNITY Garden,"1550 Albemarle Road, 11226",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=993956,174904&c=GISBasic&s=a:1550,ALBEMARLE+ROAD,BROOKLYN",varies,,,,,,,http://www.sustainableflatbush.org,Community Garden,varies,yes,
BK,Floral Vineyard Community Garden,"2381 Pitkin Avenue, 11207",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1016282,184768&c=GISBasic&s=a:2381,PITKIN+AVENUE,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,,Community Garden,"2 or 3 bin, enclosed bins",no,
BK,Floyd Bennett Gardens Association (FBGA),"1 Floyd Bennet Field, 11234",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1014584,152531&c=GISBasic&s=p:FLOYD+BENNETT+FIELD,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://www.fbga.net,Community Garden,"2 or 3 bin, open pile/bin, enclosed bins",yes,
BK,Fort Greene Greenmarket,"Washington Park b/t Dekalb Ave &amp; Willoughby Ave, Brooklyn, NY 11201
(40.69373999970139, -73.99130999985647)",40.69374,-73.99131,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=991703,190525&c=GISBasic&s=i:DEKALB+AVENUE,WASHINGTON+PARK,BROOKLYN",food scraps,Saturdays,8 am – 3 pm,Year Round,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,GrowNYC community partners,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
BK,Garden of Union,"634-36 Union Street, 11215",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=989087,185913&c=GISBasic&s=a:634,UNION+STREET,BROOKLYN",food scraps,,,,,,,,Community Garden,"2 or 3 bin, enclosed bins",yes,
BK,Gowanus Canal Conservancy,"Second Avenue between 5th Street and the Gowanus Canal, 11215",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=986428,185380&c=GISBasic&s=l:BROOKLYN,977,3,PLUTO","leaves, garden trimmings, food scraps",,,,,,,http://www.gowanuscanalconservancy.org/,Institution,enclosed bins,no,
BK,Grand Army Plaza Greenmarket,"Prospect Park West &amp; Plaza St West, Brooklyn, NY 11238
(40.679380000286926, -73.9635700003551)",40.67938,-73.96357,"http://gis.nyc.gov/doitt/nycitymap/?z=7&p=991952,182827&c=GISBasic&s=i:PROSPECT+PARK+WEST,PLAZA+ST+WEST,BROOKLYN",food scraps,Saturdays,8 am – 3:30 pm,Year Round,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,GrowNYC community partners,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
BK,Granja Los Colibries Community Garden,"219 34th Street, 11220",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=983761,177837&c=GISBasic&s=a:219,34+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://www.la-union.org,Community Garden,2 or 3 bin,no,
BK,Greene Acres Community Garden,"Corner of Greene Avenue and Franklin Avenue, 11238",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=996179,189838&c=GISBasic&s=i:GREENE+AVENUE,FRANKLIN+AVENUE,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://greeneacres.interactivist.net/,Community Garden,"2 or 3 bin, enclosed bins",no,
BK,Immani 2 Community Garden,"1680 Pacific Street, 11213",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1002843,185759&c=GISBasic&s=a:1680,PACIFIC+STREET,BROOKLYN","leaves, garden trimmings, food scraps, horse manure",,,,,,,,Community Garden,2 or 3 bin,no,
BK,Jane Bailey Community Garden,"325 Greene Avenue, 11238",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=995715,189853&c=GISBasic&s=a:325,GREENE+AVENUE,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,,Community Garden,2 or 3 bin,no,
BK,Java Street Garden,"59 Java Street, 11222",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=995664,205757&c=GISBasic&s=a:59,JAVA+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://javastreetgarden.tumblr.com/,Community Garden,enclosed bin,no,
BK,Jefferson Street Garden,"321 Jefferson Street, 11237",,,"http://gis.nyc.gov/doitt/nycitymap/?z=10&p=1004750,196082&c=GISBasic&s=a:321,JEFFERSON+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,,Community Garden,enclosed bin,no,
BK,Kingsborough Community College,"2001 Oriental Avenue, 11235",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=1002458,149994&c=GISBasic&s=a:2001,ORIENTAL+BOULEVARD,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://www.kbcc.cuny.edu,Institution,2 or 3 bin,no,
BK,Mama Dees Community Garden,"Dean Street, between Bedford Avenue and Rogers Avenue, 11238",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=997376,185939&c=GISBasic&s=i:DEAN+STREET,BEDFORD+AVENUE,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,,Community Garden,"2 or 3 bin, enclosed bins, open pile",no,
BK,McCarren Park Greenmarket,"229 North 12th St, Brooklyn, NY 11211
(40.71978151369627, -73.95335566994004)",40.71978151,-73.95335567,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=997287,201419&c=GISBasic&s=a:229,NORTH+12+STREET,BROOKLYN",food scraps,Saturdays,8 am – 2 pm,Year Round,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,GrowNYC community partners,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
BK,North Brooklyn Compost Project,"McCarren Park (opposite 228 North 12th Street), 11211",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=997242,201482&c=GISBasic&s=i:NORTH+12+STREET,UNION+AVENUE,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://northbrooklyncompostproject.wordpress.com,Park,enclosed bins,no,
BK,North Brooklyn Compost Project @ McCarren Park,"229 North 12th St, Brooklyn, NY 11211
(40.71978151369627, -73.95335566994004)",40.71978151,-73.95335567,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=997287,201419&c=GISBasic&s=a:229,NORTH+12+STREET,BROOKLYN",food scraps,Saturdays,9 am – 12 pm,Year Round,must assist with maintenance of compost site,North Brooklyn Compost Project,North Brooklyn Compost Project,http://northbrooklyncompostproject.wordpress.com/,,,,
BK,Old Stone House,"336 3rd Street, 11215",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=988517,184464&c=GISBasic&s=a:336,3+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://www.theoldstonehouse.org,Community Garden,"enclosed bin, 2 or 3 bin",no,
BK,Powell Street Community Garden,"Livonia Avenue between Powell Street and Junius Street, 11212",,,http://mashcode.github.io/NYCompost/#,"leaves, garden trimmings",,,,,,,,Community Garden,"enclosed bin, 2 or 3 bin",no,
BK,Prospect Farm,"1194 Prospect Avenue, 11218",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=990738,177621&c=GISBasic&s=a:1194,PROSPECT+AVENUE,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://www.facebook.com/ProspectFarmBK,Community Garden,"enclosed bin, 2 or 3 bin, trench composting",no,
BK,Prospect Heights Community Farm,"252 St. Marks Ave, Brooklyn, NY 11238
(40.67829843830225, -73.96765157211405)",40.67829844,-73.96765157,"http://gis.nyc.gov/doitt/nycitymap/?z=7&p=992727,184796&c=GISBasic&s=a:252,ST+MARKS+AVENUE,BROOKLYN",food scraps,check garden for open hours,check garden for open hours,Year Round,garden membership or drop-off during garden's open hours,Prospect Heights Community Farm,Prospect Heights Community Farm,http://www.phcfarm.com/welcome/,,,,
BK,Prospect Heights Community Farm,"252 Saint Mark's Avenue, 11238",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=993197,186325&c=GISBasic&s=a:252,ST+MARK","leaves, garden trimmings, food scraps",,,,,,,http://www.phcfarm.com,Community Garden,"2 or 3 bin, enclosed bins",no,
BK,PS 123 Garden,"100 Irving Avenue, 11237",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1005734,195817&c=GISBasic&s=a:100,IRVING+AVENUE,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,,NYC Schools (K-12),"2-3 bin system, enclosed bin",no,
BK,PS 185,"86-01 Ridge Boulevard, 11209",,,http://maps.nyc.gov/doitt/nycitymap/,"leaves, garden trimmings, food scraps",,,,,,,http://www.schools.nyc.gov/schoolportals/20/k185/default.htm,NYC Schools (K-12),enclosed bins,no,
BK,Red Hook Community Farm,"580 Columbia St b/t Halleck St &amp; Sigourney St, Brooklyn, NY 11231
(40.680220000352904, -74.0006699998205)",40.68022,-74.00067,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=981522,184276&c=GISBasic&s=a:580,COLUMBIA+STREET,BROOKLYN",food scraps,Saturdays,10 am to 3 pm,(April - November) Check the calendar on home page for winter  “community composting” times.,"bring compostables to ""compost row"" on the southwest edge of the farm and follow easy self-help composting instructions",Red Hook Community Farm,Red Hook Community Farm,http://www.added-value.org/,,,,
BK,Red Shed Garden,"266 Skillman Avenue, 11211",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1000804,200172&c=GISBasic&s=a:266,SKILLMAN+AVENUE,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://redshedcommunitygarden.blogspot.com,Community Garden,enclosed bin,no,
BK,Schaef Earth Garden of the Park Slope United Methodist Church,"414 6th Avenue, 11215",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=988797,182974&c=GISBasic&s=a:414,6+AVENUE,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://psumcearthgarden.blogspot.com,Institution,2 or 3 bin,no,
BK,Shiloh Community Garden,"Monroe Street near Tompkins Avenue, 11216",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=999454,189316&c=GISBasic&s=l:BROOKLYN,1814,44,PLUTO","leaves, garden trimmings, food scraps",,,,,,,,Community Garden,2 or 3 bin,no,
BK,South Brooklyn Children’s Garden,"204 Columbia Street, 11231",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=983443,188926&c=GISBasic&s=a:204,COLUMBIA+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://southbrooklynchildrensgarden.org/about-us/,Community Garden,2 or 3 bin,no,
BK,Southside Community Garden,"South 4th Street and Hewes Street, 11211",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=997634,197153&c=GISBasic&s=i:SOUTH+4+STREET,HEWES+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://www.scgwilliamsburg.com/,Community Garden,enclosed bins,no,
BK,St. John Cantius,"476 New Jersey Avenue, 11207",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1013653,182470&c=GISBasic&s=a:476,NEW+JERSEY+AVENUE,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://www.grownyc.org/openspace/rwh/cantius,Community Garden,2 or 3 bin,no,
BK,St. Marks Prospect Heights Community Garden,"207 St. Marks Avenue, 11238",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=992844,186628&c=GISBasic&s=a:207,ST+MARKS+AVENUE,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://www.bqlt.org/StMarks.html,Community Garden,2 or 3 bin,no,
